t_abs,phase,block,trial_idx_in_block,question_number,question_year,question_type,question_field,marker_name,marker_code,rt_from_phase,choice,correct,button_click_time,option_view_time,note
6.961347,experiment,START,-1,,,,,EXP_START,0,,,,,,Experiment started at 2025-11-03 16:51:30
8.153328,questionnaire,PRE,-1,,,,,QUESTIONNAIRE_ON,71,,,,,,Questionnaire start
18.152362,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,,45,,,,type=number; required=True
22.357239,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,,nbd,,,,type=text; required=True
24.277005,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,,jgfio,,,,type=text; required=True
29.231924,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,,5,,,,type=number; required=True
34.152117,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,,male,,,,type=text; required=True
37.789381,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,,nvdfkj,,,,type=text; required=True
40.107857,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,,klnvfklnvf,,,,type=text; required=False
42.393054,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,,a,,,,type=text; required=True
45.680568,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,,a,,,,type=text; required=True
51.636875,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,,bs,,,,type=text; required=False
54.639108,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,,a,,,,type=text; required=False
56.975755,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,,3,,,,type=number; required=False
61.964216,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,,a,,,,type=text; required=True
