year,field,question_number,question_key,field_name,letters_only,chars_total
2018,LC,44,2018	LC_44,question_text_translated,700,853
2018,LC,44,2018	LC_44,question_itself_translated,69,81
2018,LC,44,2018	LC_44,question_option_A_translated,21,25
2018,LC,44,2018	LC_44,question_option_B_translated,27,31
2018,LC,44,2018	LC_44,question_option_C_translated,28,32
2018,LC,44,2018	LC_44,question_option_D_translated,30,34
2018,LC,44,2018	LC_44,question_option_E_translated,29,32
2020,LC,31,2020	LC_31,question_text_translated,672,814
2020,LC,31,2020	LC_31,question_itself_translated,108,134
2020,LC,31,2020	LC_31,question_option_A_translated,46,58
2020,LC,31,2020	LC_31,question_option_B_translated,49,61
2020,LC,31,2020	LC_31,question_option_C_translated,47,54
2020,LC,31,2020	LC_31,question_option_D_translated,56,68
2020,LC,31,2020	LC_31,question_option_E_translated,46,56
2021,LC,26,2021	LC_26,question_text_translated,870,1109
2021,LC,26,2021	LC_26,question_itself_translated,101,116
2021,LC,26,2021	LC_26,question_option_A_translated,26,38
2021,LC,26,2021	LC_26,question_option_B_translated,25,34
2021,LC,26,2021	LC_26,question_option_C_translated,22,32
2021,LC,26,2021	LC_26,question_option_D_translated,36,48
2021,LC,26,2021	LC_26,question_option_E_translated,44,59
2017,CH,47,2017	CH_47,question_text_translated,434,543
2017,CH,47,2017	CH_47,question_itself_translated,74,96
2017,CH,47,2017	CH_47,question_option_A_translated,52,62
2017,CH,47,2017	CH_47,question_option_B_translated,51,61
2017,CH,47,2017	CH_47,question_option_C_translated,57,70
2017,CH,47,2017	CH_47,question_option_D_translated,67,79
2017,CH,47,2017	CH_47,question_option_E_translated,53,64
2017,CH,68,2017	CH_68,question_text_translated,465,587
2017,CH,68,2017	CH_68,question_itself_translated,74,86
2017,CH,68,2017	CH_68,question_option_A_translated,29,33
2017,CH,68,2017	CH_68,question_option_B_translated,28,33
2017,CH,68,2017	CH_68,question_option_C_translated,31,35
2017,CH,68,2017	CH_68,question_option_D_translated,35,39
2017,CH,68,2017	CH_68,question_option_E_translated,36,42
2017,CH,69,2017	CH_69,question_text_translated,440,531
2017,CH,69,2017	CH_69,question_itself_translated,158,187
2017,CH,69,2017	CH_69,question_option_A_translated,36,40
2017,CH,69,2017	CH_69,question_option_B_translated,21,23
2017,CH,69,2017	CH_69,question_option_C_translated,28,31
2017,CH,69,2017	CH_69,question_option_D_translated,26,30
2017,CH,69,2017	CH_69,question_option_E_translated,35,39
2017,CH,75,2017	CH_75,question_text_translated,634,801
2017,CH,75,2017	CH_75,question_itself_translated,40,45
2017,CH,75,2017	CH_75,question_option_A_translated,45,50
2017,CH,75,2017	CH_75,question_option_B_translated,46,55
2017,CH,75,2017	CH_75,question_option_C_translated,45,53
2017,CH,75,2017	CH_75,question_option_D_translated,55,64
2017,CH,75,2017	CH_75,question_option_E_translated,59,69
2018,CH,77,2018	CH_77,question_text_translated,325,411
